game,name,score,place,timeout
2460,g1,150,1st,no
2460,g2,148,2nd,no
2460,g6,130,3rd,no
2460,g7,3,4th,no
2461,g6,154,1st,no
2462,g3,151,2nd,no
2462,g6,140,3rd,no
2462,g2,54,4th,no
2463,g6,135,1st,no
2463,g1,133,2nd,no
2463,g4,109,3rd,no
2463,g7,0,4th,no
2464,g7,187,1st,no
2465,g6,136,2nd,no
2465,g4,88,3rd,no
2465,g7,7,4th,no
2466,g3,214,1st,no
2466,g8,151,2nd,no
2466,g1,106,3rd,no
2466,g2,28,4th,no
2467,g8,185,1st,no
2467,g1,163,2nd,no
2467,g4,84,3rd,no
2467,g2,67,4th,no
2468,g3,183,1st,no
2469,g2,136,2nd,no
2469,g8,63,3rd,no
2469,g4,59,4th,no
2470,g2,153,1st,no
2470,g6,130,2nd,no
2470,g8,115,3rd,no
2470,g1,102,4th,no
2471,g6,152,1st,no
2471,g8,126,2nd,no
2471,g1,114,3rd,no
2471,g3,107,4th,no
2472,g3,150,1st,no
2473,g8,123,2nd,no
2473,g6,106,3rd,no
2473,g4,101,4th,no
2474,g8,157,1st,no
2475,g3,151,2nd,no
2475,g6,101,3rd,no
2475,g4,88,4th,no
2476,g8,138,1st,no
2476,g7,131,2nd,no
2476,g1,115,3rd,no
2476,g2,27,4th,no
2477,g3,197,1st,no
2478,g7,131,2nd,no
2478,g8,109,3rd,no
2478,g2,25,4th,no
2479,g8,220,1st,no
2479,g7,116,2nd,no
2479,g4,92,3rd,no
2479,g1,71,4th,no
2480,g7,169,1st,no
2481,g8,140,2nd,no
2481,g4,100,3rd,no
2481,g7,4,4th,no
2482,g8,221,1st,no
2482,g1,143,2nd,no
2482,g6,131,3rd,no
2482,g7,5,4th,no
2483,g7,142,1st,no
2483,g2,140,2nd,no
2483,g8,122,3rd,no
2483,g6,95,4th,no
2484,g6,131,1st,no
