game,name,score,place,timeout
194,g9,31,2nd,no
195,g4,18,4th,no
195,g6,26,3rd,no
195,g7,27,2nd,no
195,g9,29,1st,no
196,g1,22,3rd,no
196,g2,27,2nd,no
196,g8,15,4th,no
196,g9,36,1st,no
199,g1,15,4th,no
199,g4,27,2nd,no
199,g8,34,1st,no
199,g9,25,3rd,no
200,g2,33,2nd,no
200,g4,19,3rd,no
200,g8,12,4th,no
200,g9,36,1st,no
201,g3,27,2nd,no
201,g4,16,4th,no
201,g8,23,3rd,no
201,g9,34,1st,no
202,g1,23,3rd,no
202,g6,18,4th,no
202,g8,33,1st,no
202,g9,27,2nd,no
203,g2,26,2nd,no
203,g6,26,2nd,no
203,g8,21,4th,no
203,g9,27,1st,no
204,g3,30,1st,no
204,g6,29,2nd,no
204,g8,13,4th,no
204,g9,29,2nd,no
205,g4,27,1st,no
205,g6,25,3rd,no
205,g8,22,4th,no
205,g9,26,2nd,no
206,g1,20,3rd,no
206,g7,27,2nd,no
206,g8,18,4th,no
206,g9,35,1st,no
207,g2,25,2nd,no
207,g7,21,3rd,no
207,g8,16,4th,no
207,g9,38,1st,no
208,g3,31,1st,no
208,g7,26,3rd,no
208,g8,28,2nd,no
208,g9,16,4th,no
209,g4,22,3rd,no
209,g7,31,2nd,no
209,g8,11,4th,no
209,g9,36,1st,no
210,g6,23,2nd,no
210,g7,20,3rd,no
210,g8,20,3rd,no
210,g9,37,1st,no
213,g1,26,2nd,no
213,g2,57,1st,no
213,g4,11,3rd,no
213,g6,7,4th,no
217,g1,18,3rd,no
217,g2,47,1st,no
217,g4,12,4th,no
217,g7,23,2nd,no
220,g1,23,3rd,no
220,g2,34,2nd,no
220,g6,6,4th,no
220,g7,37,1st,no
223,g1,40,2nd,no
223,g4,9,3rd,no
223,g6,7,4th,no
223,g7,45,1st,no
224,g2,51,1st,no
224,g4,8,4th,no
224,g6,9,3rd,no
224,g7,33,2nd,no
225,g3,47,1st,no
225,g4,6,4th,no
225,g6,13,3rd,no
225,g7,35,2nd,no
227,g1,19,3rd,no
227,g2,24,2nd,no
227,g4,17,4th,no
227,g8,40,1st,no
230,g1,14,3rd,no
230,g2,33,2nd,no
230,g6,8,4th,no
230,g8,45,1st,no
233,g1,29,2nd,no
233,g4,9,3rd,no
233,g6,4,4th,no
233,g8,57,1st,no
234,g2,43,1st,no
234,g4,11,3rd,no
234,g6,6,4th,no
234,g8,41,2nd,no
235,g3,48,1st,no
235,g4,8,3rd,no
235,g6,8,3rd,no
235,g8,37,2nd,no
236,g1,7,4th,no
236,g2,26,2nd,no
236,g7,25,3rd,no
236,g8,42,1st,no
239,g1,17,3rd,no
239,g4,14,4th,no
239,g7,36,1st,no
239,g8,33,2nd,no
240,g2,43,1st,no
240,g4,13,4th,no
240,g7,30,2nd,no
240,g8,15,3rd,no
241,g3,29,3rd,no
241,g4,8,4th,no
241,g7,31,2nd,no
241,g8,32,1st,no
242,g1,26,3rd,no
242,g6,4,4th,no
242,g7,27,2nd,no
242,g8,43,1st,no
243,g2,29,2nd,no
243,g6,8,4th,no
243,g7,24,3rd,no
243,g8,39,1st,no
244,g3,33,2nd,no
244,g6,7,4th,no
244,g7,24,3rd,no
244,g8,36,1st,no
245,g4,10,3rd,no
245,g6,6,4th,no
245,g7,37,2nd,no
245,g8,48,1st,no
247,g1,23,3rd,no
247,g2,32,2nd,no
247,g4,7,4th,no
247,g9,38,1st,no
250,g1,23,3rd,no
250,g2,42,1st,no
250,g6,6,4th,no
250,g9,29,2nd,no
253,g1,29,2nd,no
253,g4,8,4th,no
253,g6,9,3rd,no
253,g9,53,1st,no
254,g2,44,1st,no
254,g4,9,3rd,no
254,g6,8,4th,no
254,g9,38,2nd,no
255,g3,45,1st,no
255,g4,7,3rd,no
255,g6,6,4th,no
255,g9,43,2nd,no
256,g1,18,4th,no
256,g2,29,2nd,no
256,g7,19,3rd,no
256,g9,34,1st,no
259,g1,24,3rd,no
259,g4,8,4th,no
259,g7,34,1st,no
259,g9,34,1st,no
260,g2,33,2nd,no
260,g4,8,4th,no
260,g7,25,3rd,no
260,g9,34,1st,no
261,g3,38,1st,no
261,g4,7,4th,no
261,g7,29,2nd,no
261,g9,26,3rd,no
262,g1,22,3rd,no
262,g6,5,4th,no
262,g7,38,1st,no
262,g9,34,2nd,no
263,g2,34,1st,no
263,g6,7,4th,no
263,g7,25,3rd,no
263,g9,34,1st,no
264,g3,29,3rd,no
264,g6,6,4th,no
264,g7,33,1st,no
264,g9,32,2nd,no
265,g4,10,3rd,no
265,g6,5,4th,no
265,g7,33,2nd,no
265,g9,52,1st,no
266,g1,16,4th,no
266,g2,31,1st,no
266,g8,26,3rd,no
266,g9,27,2nd,no
269,g1,22,3rd,no
269,g4,9,4th,no
269,g8,32,2nd,no
269,g9,38,1st,no
270,g2,33,2nd,no
270,g4,8,4th,no
270,g8,23,3rd,no
270,g9,36,1st,no
271,g3,35,2nd,no
271,g4,7,4th,no
271,g8,22,3rd,no
271,g9,37,1st,no
272,g1,15,3rd,no
272,g6,8,4th,no
272,g8,30,2nd,no
272,g9,48,1st,no
273,g2,29,2nd,no
273,g6,8,4th,no
273,g8,23,3rd,no
273,g9,40,1st,no
274,g3,31,2nd,no
274,g6,7,4th,no
274,g8,29,3rd,no
274,g9,33,1st,no
275,g4,6,4th,no
275,g6,11,3rd,no
275,g8,32,2nd,no
275,g9,52,1st,no
276,g1,16,4th,no
276,g7,23,2nd,no
276,g8,19,3rd,no
276,g9,42,1st,no
277,g2,18,4th,no
277,g7,20,3rd,no
277,g8,31,2nd,no
277,g9,32,1st,no
278,g3,29,2nd,no
278,g7,14,4th,no
278,g8,30,1st,no
278,g9,27,3rd,no
279,g4,5,4th,no
279,g7,25,2nd,no
