game,name,score,place,timeout
1035,g9,31,2nd,no
1035,g7,24,3rd,no
1035,g6,13,4th,no
1036,g8,42,1st,no
1036,g1,23,2nd,no
1036,g2,23,2nd,no
1036,g9,13,4th,no
1037,g3,45,1st,no
1037,g9,27,2nd,no
1037,g8,20,3rd,no
1037,g1,9,4th,no
1038,g2,28,1st,no
1038,g3,28,1st,no
1038,g8,25,3rd,no
1038,g9,19,4th,no
1039,g9,33,1st,no
1039,g8,26,2nd,no
1039,g4,25,3rd,no
1039,g1,16,4th,no
1040,g2,32,1st,no
1040,g8,29,2nd,no
1040,g9,28,3rd,no
1040,g4,11,4th,no
1041,g9,37,1st,no
1041,g3,31,2nd,no
1041,g4,21,3rd,no
1041,g8,12,4th,no
1042,g8,42,1st,no
1042,g1,20,2nd,no
1042,g6,20,2nd,no
1042,g9,19,4th,no
1043,g8,33,1st,no
1043,g2,31,2nd,no
1043,g9,19,3rd,no
1043,g6,18,4th,no
1044,g3,35,1st,no
1044,g8,29,2nd,no
1044,g9,20,3rd,no
1044,g6,17,4th,no
1045,g8,29,1st,no
1045,g4,28,2nd,no
1045,g6,27,3rd,no
1045,g9,17,4th,no
1046,g8,53,1st,no
1046,g9,36,2nd,no
1046,g1,12,3rd,no
1046,g7,0,4th,no
1047,g2,33,1st,no
1047,g9,33,1st,no
1047,g8,31,3rd,no
1047,g7,4,4th,no
1048,g8,40,1st,no
1048,g3,37,2nd,no
1048,g9,21,3rd,no
1048,g7,2,4th,no
1049,g4,43,1st,no
1049,g8,36,2nd,no
1049,g9,18,3rd,no
1049,g7,4,4th,no
1050,g6,35,1st,no
1050,g9,31,2nd,no
1050,g8,26,3rd,no
1050,g7,9,4th,no
1051,g3,44,1st,no
1051,g2,19,2nd,no
1051,g4,19,2nd,no
1051,g1,18,4th,no
1052,g2,29,1st,no
1052,g6,29,1st,no
1052,g3,26,3rd,no
1052,g1,17,4th,no
1053,g1,39,1st,no
1053,g2,38,2nd,no
1053,g6,21,3rd,no
1053,g4,3,4th,no
1054,g3,42,1st,no
1054,g1,35,2nd,no
1054,g6,18,3rd,no
1054,g4,5,4th,no
1055,g3,54,1st,no
1055,g4,26,2nd,no
1055,g6,17,3rd,no
1055,g2,4,4th,no
1056,g3,52,1st,no
1056,g1,36,2nd,no
1056,g2,12,3rd,no
1056,g7,0,4th,no
1057,g2,47,1st,no
1057,g1,29,2nd,no
1057,g4,22,3rd,no
1057,g7,3,4th,no
1058,g1,43,1st,no
1058,g3,38,2nd,no
1058,g4,14,3rd,no
1058,g7,5,4th,no
1059,g3,53,1st,no
1059,g7,23,2nd,no
1059,g4,15,3rd,no
1059,g2,9,4th,no
1060,g1,46,1st,no
1060,g2,36,2nd,no
1060,g6,18,3rd,no
1060,g7,1,4th,no
1061,g3,38,1st,no
1061,g6,31,2nd,no
1061,g1,23,3rd,no
1061,g7,9,4th,no
1062,g3,35,1st,no
1062,g7,33,2nd,no
1062,g6,28,3rd,no
1062,g2,5,4th,no
1063,g1,46,1st,no
1063,g6,27,2nd,no
1063,g7,16,3rd,no
1063,g4,11,4th,no
1064,g4,54,1st,no
1064,g2,25,2nd,no
1064,g6,21,3rd,no
1064,g7,1,4th,no
1065,g3,34,1st,no
1065,g7,29,2nd,no
1065,g6,20,3rd,no
1065,g4,17,4th,no
1066,g1,34,1st,no
1066,g3,34,1st,no
1066,g8,17,3rd,no
1066,g2,15,4th,no
1067,g1,56,1st,no
1067,g8,19,2nd,no
1067,g4,13,3rd,no
1067,g2,12,4th,no
1068,g3,37,1st,no
1068,g1,34,2nd,no
1068,g8,21,3rd,no
1068,g4,8,4th,no
1069,g3,62,1st,no
1069,g4,16,2nd,no
1069,g2,15,3rd,no
1069,g8,7,4th,no
1070,g1,38,1st,no
1070,g8,29,2nd,no
1070,g6,21,3rd,no
1070,g2,13,4th,no
1071,g8,32,1st,no
1071,g1,26,2nd,no
1071,g3,23,3rd,no
1071,g6,19,4th,no
1072,g3,40,1st,no
1072,g6,35,2nd,no
1072,g2,13,3rd,no
1072,g8,12,4th,no
1073,g1,37,1st,no
1073,g8,27,2nd,no
1073,g6,19,3rd,no
1073,g4,18,4th,no
1074,g4,32,1st,no
1074,g8,29,2nd,no
1074,g6,28,3rd,no
1074,g2,12,4th,no
1075,g3,43,1st,no
1075,g8,22,2nd,no
1075,g6,19,3rd,no
1075,g4,16,4th,no
1076,g1,40,1st,no
1076,g8,37,2nd,no
1076,g2,24,3rd,no
1076,g7,0,4th,no
1077,g7,30,1st,no
1077,g1,29,2nd,no
1077,g8,21,3rd,no
1077,g3,20,4th,no
1078,g7,37,1st,no
1078,g8,27,2nd,no
1078,g2,21,3rd,no
1078,g3,16,4th,no
1079,g8,30,1st,no
1079,g7,27,2nd,no
1079,g1,26,3rd,no
1079,g4,18,4th,no
1080,g7,30,1st,no
1080,g2,28,2nd,no
1080,g8,22,3rd,no
1080,g4,21,4th,no
1081,g3,37,1st,no
1081,g8,30,2nd,no
1081,g7,19,3rd,no
1081,g4,15,4th,no
1082,g1,48,1st,no
1082,g8,33,2nd,no
1082,g6,17,3rd,yes
1082,g7,2,4th,yes
1083,g7,32,1st,no
1083,g2,27,2nd,no
1083,g8,26,3rd,no
1083,g6,16,4th,no
1084,g6,30,1st,no
1084,g7,27,2nd,no
1084,g8,26,3rd,no
1084,g3,18,4th,no
1085,g7,32,1st,no
1085,g4,26,2nd,no
1085,g6,23,3rd,no
1085,g8,20,4th,no
1086,g1,32,1st,no
1086,g3,28,2nd,no
1086,g2,24,3rd,no
1086,g9,16,4th,no
1087,g2,38,1st,no
1087,g1,26,2nd,no
1087,g9,26,2nd,no
1087,g4,10,4th,no
1088,g3,37,1st,no
1088,g1,32,2nd,no
1088,g9,26,3rd,no
1088,g4,5,4th,no
1089,g2,31,1st,no
1089,g3,30,2nd,no
1089,g9,29,3rd,no
1089,g4,10,4th,no
1090,g2,32,1st,no
1090,g1,29,2nd,no
1090,g6,25,3rd,no
1090,g9,15,4th,no
1091,g6,36,1st,no
1091,g3,26,2nd,no
1091,g9,22,3rd,no
1091,g1,17,4th,no
1092,g6,29,1st,no
1092,g9,29,1st,no
1092,g3,22,3rd,no
1092,g2,21,4th,no
